Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Title
02101726
03460000
0344878100
03447687
0351706800
02077303
03456991
02137727
03512000
03446000
03451500
02077200
02111000
